----------Calculation 1: 101001010111 * 101000101----------
Step 0101: State=52, Head=21, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0102: State=52, Head=20, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0103: State=52, Head=19, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0104: State=52, Head=18, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0105: State=52, Head=17, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0106: State=52, Head=16, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0107: State=52, Head=15, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0108: State=52, Head=14, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0109: State=52, Head=13, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0110: State=53, Head=12, Tape=BBBBBBBBBBBB0B10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0111: State=55, Head=13, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0112: State=56, Head=14, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0113: State=57, Head=15, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0114: State=57, Head=16, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0115: State=57, Head=17, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0116: State=57, Head=18, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0117: State=57, Head=19, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0118: State=57, Head=20, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0119: State=57, Head=21, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0120: State=57, Head=22, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0121: State=57, Head=23, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0122: State=57, Head=24, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
Step 0123: State=57, Head=25, Tape=BBBBBBBBBBBBxB10100101011#B10100010xBBBBBBBBBBBBBBBBBBBB
